index name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
SSelect_theta(10)_namuda(0.4),55,63,61,40,67,38,45,59,53,51,65,64,57,56,36,43,66,47,32,69,34,39,41,68,71,44,60,42,37,62,58,49,89,30,87,81,88,35,54,70,85,84,72,73,80,74,86,77,75,76,78,28,82,46,33,79,50,48,83,26,22,52,20,24,31,18,25,21,19,16,29,23,14,4,27,12,17,13,10,15,0,2,7,9,6,5,11,1,8,3
SSelect_theta(10)_namuda(0.5),63,45,55,49,53,67,57,61,59,38,51,47,43,41,40,65,69,36,39,42,71,34,64,58,32,56,62,37,60,35,87,89,66,83,44,81,75,85,73,30,68,77,84,86,70,54,79,33,72,80,74,76,52,82,46,88,78,50,28,26,22,31,18,19,29,20,25,48,21,24,14,23,16,17,12,15,7,27,9,1,13,10,11,4,5,2,6,0,3,8
SSelect_theta(10)_namuda(0.6000000000000001),55,61,63,59,53,57,67,51,45,65,49,43,47,41,38,39,69,40,36,89,71,37,87,42,73,85,60,56,83,64,32,62,35,58,34,75,81,77,44,66,79,30,33,84,68,88,54,70,46,86,80,74,31,52,28,72,25,78,26,76,82,19,22,24,21,29,50,18,20,23,27,48,17,16,13,15,9,14,1,7,5,12,3,11,10,4,0,2,8,6
SSelect_theta(10)_namuda(0.7000000000000001),55,57,59,63,53,51,49,61,45,47,67,43,65,41,39,69,89,38,37,40,36,71,87,85,35,75,73,83,81,60,77,34,42,62,56,32,64,58,79,33,66,44,30,54,31,68,86,84,25,88,70,28,29,19,80,23,46,82,21,52,72,74,26,27,18,76,50,22,48,78,20,17,13,15,24,7,9,16,11,1,5,3,14,12,4,10,2,0,8,6
SSelect_theta(10)_namuda(0.8),55,53,51,59,49,57,61,63,45,47,43,65,67,41,39,69,89,71,37,87,38,85,73,35,75,36,40,81,77,83,79,33,34,42,60,62,58,32,56,64,31,44,29,66,25,30,88,86,84,54,27,23,21,19,68,82,46,28,52,17,26,80,70,15,72,13,50,9,20,5,78,1,76,3,18,74,7,24,22,48,11,16,14,12,10,4,8,2,6,0
SSelect_theta(10)_namuda(0.9),55,53,51,57,49,59,61,47,45,63,43,65,41,67,39,69,89,37,71,87,73,85,35,75,38,77,81,36,40,83,79,33,34,60,42,62,58,31,29,25,56,64,32,27,23,44,21,19,66,30,54,88,86,84,17,15,13,46,5,28,1,9,7,52,68,3,82,11,26,48,80,18,50,24,70,20,22,72,16,78,74,76,14,12,10,8,2,4,0,6
SSelect_theta(10)_namuda(1.0),53,51,55,57,49,59,61,47,45,63,43,65,41,67,39,69,89,37,71,87,73,85,35,75,77,83,81,79,38,33,36,40,31,29,34,25,60,42,27,62,58,23,21,56,64,32,19,17,44,15,88,86,54,1,5,13,7,9,3,30,84,11,66,46,28,52,82,68,26,24,48,50,20,18,80,22,70,16,14,78,72,74,76,12,10,8,6,0,2,4
SSelect_theta(100)_namuda(0.0),64,40,68,56,38,66,36,62,32,44,34,72,84,70,30,42,74,80,58,76,60,46,54,67,63,82,65,88,48,78,86,52,69,61,26,45,41,18,81,22,71,28,59,55,50,39,20,16,35,87,83,89,53,57,49,37,24,43,77,75,4,73,47,0,51,2,6,85,10,79,14,19,12,8,21,31,13,25,33,23,17,15,7,11,29,27,9,1,3,5
SSelect_theta(100)_namuda(0.1),32,40,38,64,68,56,36,58,34,66,44,42,62,30,70,60,67,80,76,63,84,74,72,78,54,89,65,88,81,86,50,39,45,28,57,46,71,55,61,49,82,53,69,59,26,43,22,20,75,51,37,35,18,41,47,85,52,73,87,48,24,16,83,4,77,14,2,79,33,0,31,21,10,6,19,12,29,8,23,25,17,13,9,15,11,7,1,3,5,27
SSelect_theta(100)_namuda(0.2),40,38,32,68,36,66,64,44,42,56,61,70,67,62,63,55,60,34,45,65,30,49,72,74,80,84,54,58,82,59,78,46,71,41,52,81,53,28,51,69,47,43,26,76,37,89,57,39,50,22,24,35,87,83,18,85,86,88,20,73,75,77,16,79,33,19,48,6,4,14,2,21,12,0,23,10,13,31,25,17,8,15,29,1,9,11,5,3,27,7
SSelect_theta(100)_namuda(0.30000000000000004),38,40,63,67,61,32,36,56,62,64,65,45,34,55,58,60,68,69,42,59,44,49,47,41,53,57,51,66,43,39,30,89,70,72,84,86,76,80,46,54,74,78,71,18,81,87,37,26,24,73,88,28,50,75,35,79,77,85,52,83,82,22,48,20,33,16,14,4,19,31,21,25,2,6,23,29,12,8,13,10,17,27,0,15,11,9,1,7,3,5
SSelect_theta(100)_namuda(0.4),67,40,55,61,63,38,59,45,36,53,65,32,34,41,43,56,57,69,47,64,60,51,49,66,39,62,42,58,44,68,89,30,85,70,37,54,84,81,35,71,83,80,87,72,86,75,77,74,76,88,73,78,79,28,52,33,46,50,82,26,48,18,20,22,16,19,24,21,25,31,23,14,17,29,13,27,12,10,4,2,8,15,0,9,1,6,7,5,11,3
SSelect_theta(100)_namuda(0.5),61,67,55,65,63,59,51,45,38,57,47,53,49,36,43,69,40,41,39,62,42,64,32,60,37,89,66,71,58,34,56,44,35,85,81,68,87,75,30,73,83,54,77,84,70,88,80,79,72,33,74,48,46,76,28,86,26,82,78,50,18,52,31,19,22,20,24,21,16,25,23,29,17,14,13,15,9,4,12,7,27,0,11,5,1,2,10,3,8,6
SSelect_theta(100)_namuda(0.6000000000000001),55,61,63,49,51,59,53,67,45,57,65,47,43,41,38,39,69,89,40,36,71,37,87,32,85,64,56,35,75,34,73,60,62,42,81,58,66,83,77,44,79,68,30,33,54,88,86,84,46,80,70,72,82,52,28,74,26,29,31,48,76,24,25,50,78,21,19,23,22,18,20,16,14,17,27,15,9,5,13,11,1,12,3,7,6,10,4,2,8,0
SSelect_theta(100)_namuda(0.7000000000000001),55,61,53,49,63,59,57,47,51,45,67,65,43,41,69,39,38,89,36,71,40,37,87,85,35,73,34,81,83,75,77,42,60,64,79,58,56,62,33,66,32,44,30,86,84,25,54,31,88,68,21,46,70,29,23,19,52,72,28,74,27,82,80,26,50,76,22,48,78,17,18,20,24,15,7,13,16,1,9,14,11,3,5,12,10,4,6,0,8,2
SSelect_theta(100)_namuda(0.8),55,53,61,51,59,57,49,63,47,45,65,43,67,41,39,69,89,71,37,38,87,85,35,36,40,73,75,81,83,77,79,34,33,60,42,62,58,56,32,64,31,44,29,66,30,54,25,84,86,88,23,21,19,68,27,46,28,17,70,52,82,26,80,15,48,9,50,24,13,22,74,1,78,20,72,3,18,5,76,7,11,16,14,12,10,4,2,0,6,8
SSelect_theta(100)_namuda(0.9),55,53,51,57,59,49,61,47,45,63,43,65,41,67,39,69,89,71,37,87,85,73,75,35,38,77,83,81,79,36,40,33,34,60,62,42,31,58,29,25,56,64,32,27,23,44,21,19,66,88,30,54,86,17,84,15,13,9,46,28,7,1,52,82,68,5,3,11,26,80,50,70,24,20,18,48,22,72,16,74,78,76,14,12,10,8,0,4,6,2
