index name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
SSelect_theta(1)_namuda(0.8),39,41,56,60,64,63,55,78,57,32,86,17,8,97,95,52,88,38,28,83,48,99,45,19,84,16,51,9,50,47,92,94,43,40,79,35,81,37,85,42,29,21,27,25,33,77,15,58,23,24,59,18,54,61,91,12,82,0,5,1,44,65,74,72,76,67,73,66,71,68,70,75,69,62,31,10,30,20,22,53,80,13,49,89,6,7,36,26,87,98,96,93,4,3,90,2,34,46,11,14
SSelect_theta(1)_namuda(0.9),39,41,56,60,64,63,55,78,57,32,86,17,8,97,95,52,10,88,38,28,83,99,34,45,19,84,16,51,9,50,47,92,94,43,40,79,35,81,37,85,42,29,21,27,25,33,77,15,58,23,24,59,18,54,61,91,12,82,0,5,1,44,65,74,72,76,67,73,66,71,68,70,75,69,62,31,30,20,22,53,80,13,48,49,89,6,7,36,26,87,98,96,93,4,3,90,2,46,11,14
SSelect_theta(1)_namuda(1.0),43,39,31,42,41,40,34,30,20,65,29,38,26,21,27,74,44,25,28,37,33,77,72,76,45,55,15,67,19,73,66,71,46,79,56,84,78,58,22,57,60,23,24,32,85,36,35,59,68,18,54,64,70,61,86,52,16,53,75,81,51,87,9,83,11,69,80,17,50,14,63,13,48,91,49,12,47,10,82,89,98,96,93,62,92,6,4,0,99,3,5,8,97,88,7,90,1,95,2,94
SSelect_theta(10)_namuda(0.0),60,39,64,56,41,63,57,55,86,8,78,95,32,97,17,52,88,99,38,83,28,47,51,34,50,45,84,19,92,16,9,94,79,81,43,40,35,37,85,5,42,12,1,23,15,25,18,33,29,21,27,24,0,82,54,58,59,61,91,77,44,74,69,75,73,72,71,70,68,67,66,65,62,76,10,31,89,13,7,6,80,49,20,30,53,22,48,36,26,90,87,98,93,4,3,2,96,11,14,46
SSelect_theta(10)_namuda(0.1),56,60,39,63,41,64,55,57,45,17,32,86,78,8,95,97,52,88,28,83,99,51,19,50,47,16,84,9,92,94,40,43,35,81,79,37,85,54,29,21,23,25,18,27,12,33,58,24,15,82,42,59,77,61,91,5,0,1,44,67,66,69,72,70,68,76,75,62,71,73,65,74,10,31,14,48,53,49,22,20,30,38,80,13,89,6,7,36,26,87,90,4,98,96,2,3,93,11,46,34
SSelect_theta(10)_namuda(0.2),56,60,39,63,41,64,55,57,17,32,86,78,8,95,97,52,10,88,28,38,83,99,51,19,50,47,45,16,84,9,92,94,40,43,35,81,79,37,85,54,29,21,23,25,18,27,12,33,58,24,15,82,42,59,77,61,91,5,0,1,44,67,66,69,72,70,68,76,75,62,71,73,65,74,31,48,53,49,22,20,30,80,13,89,6,7,36,26,87,90,4,98,96,2,3,93,11,46,14,34
SSelect_theta(10)_namuda(0.30000000000000004),56,60,39,63,41,64,55,57,17,32,86,78,8,95,97,52,88,28,38,83,99,51,19,50,47,45,16,84,9,34,92,94,40,43,35,81,79,37,85,54,29,21,23,25,18,27,12,33,58,24,15,82,42,59,77,61,91,5,0,1,44,67,66,69,72,70,68,76,75,62,71,73,65,74,10,31,48,53,49,22,20,30,80,13,89,6,7,36,26,87,90,4,98,96,2,3,93,11,46,14
SSelect_theta(10)_namuda(0.4),56,60,39,63,41,64,55,57,17,32,86,78,8,95,97,52,10,88,48,28,38,83,99,51,19,50,47,45,16,84,9,92,94,40,43,35,81,79,37,85,54,29,21,23,25,18,27,12,33,58,24,15,82,42,59,77,61,91,5,0,1,44,67,66,69,72,70,68,76,75,62,71,73,65,74,31,14,53,49,22,20,30,80,13,89,6,7,36,26,87,90,4,98,96,2,3,93,11,46,34
SSelect_theta(10)_namuda(0.5),56,60,39,63,41,64,55,57,17,32,86,78,8,95,97,52,10,88,28,38,83,99,51,19,50,47,45,16,84,9,34,92,94,40,43,35,81,79,37,85,54,29,21,23,25,18,27,12,33,58,24,15,82,42,59,77,61,91,5,0,1,44,67,66,69,72,70,68,76,75,62,71,73,65,74,31,48,53,49,22,20,30,80,13,89,6,7,36,26,87,90,4,98,96,2,3,93,11,46,14
SSelect_theta(10)_namuda(0.6000000000000001),56,60,39,63,41,64,55,57,45,17,32,86,78,8,95,97,52,10,88,28,38,83,99,51,19,50,47,16,84,9,92,94,40,43,35,81,79,37,85,54,29,21,23,25,18,27,12,33,58,24,15,82,42,59,77,61,91,5,0,1,44,67,66,69,72,70,68,76,75,62,71,73,65,74,31,48,53,49,22,20,30,80,13,89,6,7,36,26,87,90,4,98,96,2,3,93,11,46,14,34
SSelect_theta(10)_namuda(0.7000000000000001),56,60,39,63,41,64,55,57,45,17,32,86,78,8,95,97,52,10,88,48,28,38,83,99,51,19,50,47,16,84,9,34,92,94,40,43,35,81,79,37,85,54,29,21,23,25,18,27,12,33,58,24,15,82,42,59,77,61,91,5,0,1,44,67,66,69,72,70,68,76,75,62,71,73,65,74,31,53,49,22,20,30,80,13,89,6,7,36,26,87,90,4,98,96,2,3,93,11,46,14
SSelect_theta(10)_namuda(0.8),56,60,39,63,41,64,55,57,45,17,32,86,78,8,95,97,52,10,88,28,38,83,99,51,19,50,47,16,84,9,92,94,40,43,35,81,79,37,85,54,29,21,23,25,18,27,12,33,58,24,15,82,42,59,77,61,91,5,0,1,44,67,66,69,72,70,68,76,75,62,71,73,65,74,31,48,53,49,22,20,30,80,13,89,6,7,36,26,87,90,4,98,96,2,3,93,11,46,14,34
SSelect_theta(10)_namuda(0.9),56,60,39,63,41,64,55,57,17,32,86,78,8,95,97,52,88,28,38,83,99,51,19,50,47,45,16,84,9,34,92,94,40,43,35,81,79,37,85,54,29,21,23,25,18,27,12,33,58,24,15,82,42,59,77,61,91,5,0,1,44,67,66,69,72,70,68,76,75,62,71,73,65,74,10,31,14,48,53,49,22,20,30,80,13,89,6,7,36,26,87,90,4,98,96,2,3,93,11,46
SSelect_theta(10)_namuda(1.0),48,53,55,54,29,51,19,49,21,22,20,50,52,23,67,25,56,18,30,27,44,66,47,12,40,26,69,33,72,43,60,58,28,24,57,11,37,46,15,38,45,70,68,76,17,39,10,85,32,75,62,16,82,63,35,31,83,84,36,86,87,42,14,71,41,9,73,34,78,88,65,74,81,80,59,13,79,77,8,90,61,89,64,91,4,5,95,92,94,98,6,96,2,0,97,3,1,93,7,99
SSelect_theta(100)_namuda(0.0),41,64,63,39,56,60,78,8,17,55,95,45,57,32,97,86,52,88,99,38,83,48,28,51,50,34,47,84,94,16,19,92,9,43,35,79,81,40,37,85,5,12,1,42,25,15,27,18,33,21,29,23,24,0,82,77,54,58,59,61,91,44,66,72,71,70,69,75,73,68,67,74,65,62,76,31,14,10,89,13,7,6,22,49,80,20,30,53,36,87,26,90,98,93,4,3,2,96,11,46
SSelect_theta(100)_namuda(0.1),41,39,64,56,63,60,45,86,78,17,57,55,32,8,95,97,88,52,10,83,38,28,99,84,50,47,51,34,19,16,89,9,94,92,43,40,81,79,35,85,37,82,42,18,54,77,61,15,21,12,29,33,59,58,23,25,27,24,5,91,0,1,44,74,76,75,72,71,73,70,69,67,66,68,65,62,14,31,48,49,22,80,13,20,30,53,7,6,36,87,26,90,96,4,93,98,2,3,46,11
SSelect_theta(100)_namuda(0.2),41,39,64,56,63,60,86,78,17,57,55,32,8,95,97,88,52,10,83,38,28,99,84,50,47,51,45,19,16,89,9,94,92,43,40,81,79,35,85,37,82,42,18,54,77,61,15,21,12,29,33,59,58,23,25,27,24,5,91,0,1,44,74,76,75,72,71,73,70,69,67,66,68,65,62,31,48,49,22,80,13,20,30,53,7,6,36,87,26,90,96,4,93,98,2,3,46,34,11,14
SSelect_theta(100)_namuda(0.30000000000000004),41,39,64,56,63,60,45,86,78,17,57,55,32,8,95,97,88,52,10,83,38,28,99,84,50,47,51,19,16,89,9,94,92,43,40,81,79,35,85,37,82,42,18,54,77,61,15,21,12,29,33,59,58,23,25,27,24,5,91,0,1,44,74,76,75,72,71,73,70,69,67,66,68,65,62,31,48,49,22,80,13,20,30,53,7,6,36,87,26,90,96,4,93,98,2,3,46,34,11,14
